bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
Mountain National Bank,300 E. MAIN STREET,SEVIERVILLE,TN,37862,34789,7-Jun-13,"First Tennessee Bank, National Association",35.86824,-83.560059,6,2013,201306,437.3,373.4
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),1565 RED CEDAR DRIVE,FORT MYERS,FL,33907,34943,2-Aug-13,C1 Bank,26.584461,-81.882362,8,2013,201308,265.7,254.2
Bank of Wausau,2010 STEWART AVENUE,WAUSAU,WI,54401,35016,9-Aug-13,Nicolet National Bank,44.959209,-89.66172,8,2013,201308,43.6,40.7
Community South Bank,51 WEST MAIN STREET,PARSONS,TN,38363,19849,23-Aug-13,"CB&S Bank, Inc.",35.64925,-88.127975,8,2013,201308,386.9,377.7
Sunrise Bank of Arizona,2777 EAST CAMELBACK ROAD,PHOENIX,AZ,85016,34707,23-Aug-13,"First Fidelity Bank, National Association",33.508644,-112.021973,8,2013,201308,202.2,196.9
First National Bank also operating as The National Bank of El Paso,100 WEST CANO,EDINBURG,TX,78539,14318,13-Sep-13,PlainsCapital Bank,26.3003489,-98.1627392,9,2013,201309,3100,2300
The Community's Bank,2574 EAST MAIN STREET,BRIDGEPORT,CT,6610,57041,13-Sep-13,No Acquirer,41.2098127,-73.1788346,9,2013,201309,26.3,25.7
Bank of Jackson County,5381 CLIFF STREET,GRACEVILLE,FL,32440,14794,30-Oct-13,First Federal Bank of Florida,30.959957,-85.514374,10,2013,201310,25.5,25
"Texas Community Bank, National Association",16610 INTERSTATE 45,THE WOODLANDS,TX,77384,57431,13-Dec-13,"Spirit of Texas Bank, SSB",30.2140713,-95.4578934,12,2013,201312,160.1,142.6
DuPage National Bank,101 MAIN,WEST CHICAGO,IL,60185,5732,17-Jan-14,Republic Bank of Chicago,41.9573975,-87.9414215,1,2014,201401,61.7,59.6
The Bank of Union,2000 SOUTH COUNTRY CLUB ROAD,EL RENO,OK,73036,17967,24-Jan-14,BancFirst,35.513981,-97.973404,1,2014,201401,331.4,328.8
Syringa Bank,1299 NORTH ORCHARD STREET,BOISE,ID,83706,34296,31-Jan-14,Sunwest Bank,43.6161022,-116.2435222,1,2014,201401,153.4,145.1
"Millennium Bank, National Association","21430 CEDAR DRIVE, UNIT 100",STERLING,VA,20164,35096,28-Feb-14,WashingtonFirst Bank,39.0220795,-77.3700027,2,2014,201402,130.3,121.7
Vantage Point Bank,100 GIBRALTER ROAD,HORSHAM,PA,19044,58531,28-Feb-14,First Choice Bank,40.1700483,-75.1296294,2,2014,201402,63.5,62.5
Allendale County Bank,200 SEVENTH STREET WEST,FAIRFAX,SC,29827,15062,25-Apr-14,Palmetto State Bank,32.9586983,-81.2348328,4,2014,201404,54.5,51
AztecAmerica Bank,2136 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,57866,16-May-14,Republic Bank of Chicago,41.851093,-87.793701,5,2014,201405,66.3,65
Columbia Savings Bank,411 LUDLOW AVENUE,CINCINNATI,OH,45220,32284,23-May-14,"United Fidelity Bank, fsb",39.143654,-84.522858,5,2014,201405,36.5,29.5
Slavie Federal Savings Bank,1614 CHURCHVILLE ROAD,BEL AIR,MD,21015,32368,30-May-14,"Bay Bank, FSB",39.5480003,-76.312233,5,2014,201405,140.1,111.1
Valley Bank,3455 AVENUE OF THE CITIES,MOLINE,IL,61265,10450,20-Jun-14,Great Southern Bank,41.491989,-90.487167,6,2014,201406,456.4,360
Valley Bank,300 WEST BROWARD BOULEVARD,FORT LAUDERDALE,FL,33312,21793,20-Jun-14,"Landmark Bank, National Association",26.121666,-80.146965,6,2014,201406,81.8,66.5
The Freedom State Bank,1085 MAIN STREET,FREEDOM,OK,73842,12483,27-Jun-14,Alva State Bank & Trust Company,36.7687149,-99.1144654,6,2014,201406,22.8,20.9
Eastside Commercial Bank,895 Iris Drive,Conyers,GA,30094,58125,18-Jul-14,Community & Southern Bank,33.6574059,-84.0198822,7,2014,201407,169,161.6
"GreenChoice Bank, fsb",2545 West Diversey Avenue,Chicago,IL,60647,28462,25-Jul-14,"Providence Bank, LLC",41.931637,-87.692101,7,2014,201407,72.9,71
NBRS Financial,6 Pearl Street,Rising Sun,MD,21911,4862,17-Oct-14,Howard Bank,39.6982498,-76.0633392,10,2014,201410,188.2,183.1
The National Republic Bank of Chicago,1201 West Harrison Street,Chicago,IL,60607,916,24-Oct-14,State Bank of Texas,41.873989,-87.657028,10,2014,201410,954.4,915.3
"Frontier Bank, FSB D/B/A El Paseo Bank",74175 El Paseo Drive,Palm Desert,CA,92260,34738,7-Nov-14,"Bank of Southern California, N.A.",33.7202415,-116.3708649,11,2014,201411,86.4,82.1
Northern Star Bank,1650 Madison Avenue,Mankato,MN,56001,34983,19-Dec-14,BankVista,44.1669951,-93.962361,12,2014,201412,18.8,18.2
